Province,Year,GDP
Bali,2000,17268228.46
Bali,2001,20190206.38
Bali,2002,23856437.95
Bali,2003,26167941.92
Bali,2004,28986595.66
Bali,2005,33946467.53
Bali,2006,37388484.9
Bali,2007,42336424.4
Bali,2008,49922604.45
Bali,2009,57579254.27
Bali,2010,64567004.85
Bali,2011,74029156.25
Banten,2000,45690559.04
Banten,2001,52643097.41
Banten,2002,60612554.33
Banten,2003,66575296.75
Banten,2004,73713784.4
Banten,2005,84622803.32
Banten,2006,97867273.39
Banten,2007,107499652.4
Banten,2008,122490654.3
Banten,2009,133048007.1
Banten,2010,148976218.9
Banten,2011,192227500
Bengkulu,2000,4868099
Bengkulu,2001,5508255.29
Bengkulu,2002,6276077.18
Bengkulu,2003,7251984.57
Bengkulu,2004,8104893.79
Bengkulu,2005,10134450.54
Bengkulu,2006,11397004.21
Bengkulu,2007,12820320.84
Bengkulu,2008,14915886.85
Bengkulu,2009,15920849.25
Bengkulu,2010,18036964.48
Bengkulu,2011,21269197.27
DI Yogyakarta,2000,13480598.42
DI Yogyakarta,2001,15228674.82
DI Yogyakarta,2002,17521778.26
DI Yogyakarta,2003,19613418.2
DI Yogyakarta,2004,22023880.34
DI Yogyakarta,2005,25337603.43
DI Yogyakarta,2006,29417348.99
DI Yogyakarta,2007,32916736.41
DI Yogyakarta,2008,38101684.5
DI Yogyakarta,2009,41407049.5
DI Yogyakarta,2010,45625589.5
DI Yogyakarta,2011,51782093.75
DKI Jakarta,2000,226573455.1
DKI Jakarta,2001,262326835.4
DKI Jakarta,2002,298806792.2
DKI Jakarta,2003,333260777.3
DKI Jakarta,2004,374200318.4
DKI Jakarta,2005,431900923.8
DKI Jakarta,2006,499354112.1
DKI Jakarta,2007,563813267
DKI Jakarta,2008,673865997.2
DKI Jakarta,2009,754540833.4
DKI Jakarta,2010,858454629.4
DKI Jakarta,2011,977587062.5
Gorontalo,2000,1473274.72
Gorontalo,2001,1822824.3
Gorontalo,2002,2148436.09
Gorontalo,2003,2479719.69
Gorontalo,2004,2801544.32
Gorontalo,2005,3480566.61
Gorontalo,2006,4062284.96
Gorontalo,2007,4760695.43
Gorontalo,2008,5906736.28
Gorontalo,2009,7069054.18
Gorontalo,2010,8056512.92
Gorontalo,2011,9153668.95
Jambi,2000,8431224.02
Jambi,2001,9711073.84
Jambi,2002,11513583.86
Jambi,2003,13452425.4
Jambi,2004,15666192.29
Jambi,2005,18403955.76
Jambi,2006,22080155.35
Jambi,2007,26193640.61
Jambi,2008,31271223.98
Jambi,2009,36755123.42
Jambi,2010,45092786.15
Jambi,2011,52609343.75
Jawa Barat,2000,184965508.4
Jawa Barat,2001,208031513.5
Jawa Barat,2002,230943495.6
Jawa Barat,2003,264355239.5
Jawa Barat,2004,292328155.5
Jawa Barat,2005,370693823.2
Jawa Barat,2006,448250513.5
Jawa Barat,2007,501445228.7
Jawa Barat,2008,596917065.7
Jawa Barat,2009,658040583.6
Jawa Barat,2010,737657049.8
Jawa Barat,2011,824061937.5
Jawa Tengah,2000,108567502.7
Jawa Tengah,2001,124388760.8
Jawa Tengah,2002,139053208.2
